Date and Time Downloaded : 03/15/2020 12:18:17 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000429","429","BERMUDEZ POLYCLINIC HOSPITAL, INC","BERMUDEZ POLYMEDIC HOSPITAL","","","Hospital","Private","","","391 MALARIA ROAD, ZONE 6 DISTRICT 1 TALA","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY 185","137501185","140","+63 029613229","","","","","","BERMUDEZ","ELISEO","A.","Chief of Hospital","With License","Level 1","20"
"DOH000000000000430","430","BERNARDINO GENERAL HOSPITAL II","","","","Hospital","Private","","","BLOCK 1, LOT 2, NORTH OLYMPUS SUBDIVISION, ZABARTE ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","KALIGAYAHAN","137404046","","+63 029355262","","+63 029371180","","","","CASTRO","BU","C.","Medical Director","With License","Level 1","35"
"DOH000000000000443","443","CASAUL GENERAL HOSPITAL INC."," "," "," ","Hospital","Private"," "," ","16 TANDANG SORA AVENUE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","SANGANDAAN","137404137"," ","+63 029301190"," "," "," "," "," ","SAUZ","DR. NOEL","F.","Chief of Hospital","Without License","",""
"DOH000000000000446","446","CHINESE GENERAL HOSPITAL AND MEDICAL CENTER","","","","Hospital","Private","","","286 BLUMENTRITT STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SANTA CRUZ","133905000","BARANGAY 372","133905075","1003","+63 027114141","+63 027114151","+63 027318252","","","","LLAMAS","MODESTO","O.","Medical Director","With License","Level 3","592"
"DOH000000000000447","447","CHRIST THE KING GENERAL HOSPITAL","CHRIST THE KING MATERNITY & LYING-IN HOSP., INC","","","Hospital","Private","","","130 REAL STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","PAMPLONA UNO","137601006","","+63 028731119","+63 028735549","+63 028724279","","","","TRINIDAD","LEONIDA","C.","Medical Director","With License","Level 1","20"
"DOH000000000000462","462","CRUZ-DALIDA MATERNITY HOSPITAL, INC.","CRUZ-DALIDA MATERNITY HOSPITAL","","","Infirmary","Private","","","1025 F. SALVADOR, JORDAN PLAINS","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","SANTA MONICA","137404106","","+63 024174080","","+63 029366135","","","","CRUZ-DAYLO","MICHELLE","","Medical Director","With License","",""
"DOH000000000000469","469","DE OCAMPO MEMORIAL MEDICAL CENTER","","","","Hospital","Private","","","2921 NAGTAHAN STREET SANTA MESA","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","CITY OF MANILA","133900000","","","","+63 027151891","+63 027151892","+63 027150967","","","","TIMTIMAN","ALOYSIUS","L.","Medical Director","With License","Level 1","20"
"DOH000000000000493","493","DR. FE DEL MUNDO MEDICAL CENTER","DR. FE DEL MUNDO CENTER FOUNDATIONS PHILS., INC.","","","Hospital","Private","","","11 BANAWE STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","DOÑA JOSEFA","137404032","","+63 027120845","","+63 027125796","MMEDCON2003@YAHOO.COM","","","LOPEZ","MARIANO","","Medical Director","With License","Level 3","107"
"DOH000000000000496","496","DR. JESUS C. DELGADO MEMORIAL HOSPITAL","","","","Hospital","Private","","","7 KAMUNING ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","KAMUNING","137404048","","+63 029244051","+63 029252991","+63 029285945","JDMH@SKYINET.NET","","","ABAD","RAINERO","S.","Medical Director","With License","Level 3","65"
"DOH000000000000499","499","DR. JOSE FABELLA MEMORIAL HOSPITAL","","","","Hospital","Government","Department Of Health","","LOPE DE VEGA STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SANTA CRUZ","133905000","BARANGAY 311","133905013","","+63 027345561","+63 023146009","+63 027357146","JFMH@DOH.GOV.PH","","","ILEM","ESMERALDO","T.","Chief of Hospital","With License","Level 3","700"
"DOH000000000000502","502","DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL","","","","Hospital","Government","Department Of Health","","DR. UYGUANCO STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY 188","137501188","","+63 029628209","+63 029629885","+63 029628209","","","","MERCADO","JENNIFER","D.","Chief of Hospital","With License","Level 2","200"
"DOH000000000000507","507","DR. MIRANDO C. UNCIANO SR. MEDICAL CENTER"," "," "," ","Hospital","Private"," "," ","V. MAPA STREET SANTA MESA"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","CITY OF MANILA","133900000"," "," "," ","+63 027167291","+63 027167292"," "," "," "," ","SIBAL","ALBANO"," ","Medical Director","Without License","",""
"DOH000000000000508","508","DR. MONTANO G. RAMOS  GENERAL HOSPITAL CORPORATION","DR. MONTANO G. RAMOS HOSPITAL","","","Hospital","Private","","","46 BUKIDNON STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","RAMON MAGSAYSAY","137404089","","+63 029276628","+63 024531377","+63 024532453","","","","RAMOS","CARIDAD","R.","Medical Director","With License","Level 1","25"
"DOH000000000000519","519","DR. SABILI HEALTH SERVICES CORPORATION","","","","Hospital","Private","","","313 GENERAL SANTOS AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","TAGUIG CITY","137607000","LOWER BICUTAN","137607008","","+63 028370917","","+63 028375954","","","","LAGBAS","EVA","S.","Chief of Hospital","With License","Level 1","40"
"DOH000000000000523","523","DR. VICTOR R. POTENCIANO MEDICAL CENTER","POLYMEDIC MEDICAL CENTER","","","Hospital","Private","","","163 EDSA","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MANDALUYONG","137401000","HIGHWAY HILLS","137401013","","+63 024649999","","+63 025321764","","","","GARCIA","VERONICA REGINE","V.","Chief of Hospital","With License","Level 3","178"
"DOH000000000000533","533","D.T. PROTACIO HOSPITAL","","","","Hospital","Private","","","484 QUIRINO AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","TAMBO","137604006","","+63 028522953","","+63 028531809","AMARIE2359@YAHOO.COM","","","CECILIA","CONCEPCION","MEJIA","Medical Director","With License","Level 1","30"
"DOH000000000000540","540","EAST AVENUE MEDICAL CENTER","","","","Hospital","Government","Department Of Health","","EAST AVENUE, DILIMAN","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","CENTRAL","137404020","","+63 029280611","+63 029292031","+63 029220195","","","","CORTEZ","ROLAND","L.","Chief of Hospital","With License","Level 3","600"
"DOH000000000000546","546","FAIRVIEW GENERAL HOSPITAL, INC.","","","","Hospital","Private","","","LOT 20 FAIRVIEW AVENUE, CORNER MERCURY STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","FAIRVIEW","137404041","","+63 029399689","","+63 029384796","","","","JARIN","HERMOGENES","D.","Medical Director","With License","Level 1","30"
"DOH000000000000550","550","GEN. MIGUEL M. MALVAR MEDICAL FOUNDATION HOSPITAL","","","","Hospital","Private","","","531 COMMONWEALTH AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","MATANDANG BALARA","137404066","","+63 029328517","","","","","","MALVAR","POTENCIANO","R.","Medical Director","With License","Level 1","46"
"DOH000000000000572","572","HOSPITAL OF THE INFANT JESUS","CHILD CARE, INC.","","","Hospital","Private","","","1556 LAON - LAAN STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SAMPALOC","133906000","","","1008","+63 027312771","+63 027312832","+63 027312834","","","","CAISIP","PURA","RODRIGUEZ","Medical Director","With License","Level 3","140"
"DOH000000000000581","581","JAVILLONAR CLINIC AND HOSPITAL","","","","Infirmary","Private","","","73 DR. PILAPIL STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","SAGAD","137403018","","+63 026412303","","+63 026435752","javi_hosp@yahoo.com","","","JAVILLONAR","ROMULO","","Medical Director","With License","",""
"DOH000000000000582","582","JESUS IMMACULATE CONCEPCION HOSPITAL","","","","Hospital","Private","","","KATIPUNAN AVE., MARIKINA HEIGHTS. SUBD.","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MARIKINA","137402000","MARIKINA HEIGHTS (CONCEPCION)","137402013","","+63 029419362","","+63 029400419","","","","ZULUETA","EDITHA","C.","Medical Director","With License","Level 1","15"
"DOH000000000000585","585","JOHN PAUL HOSPITAL","","","","Infirmary","Private","","","26 MARIANO PONCE CORNER TIRAD PAS STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY 135","137501135","","+63 023618959","+63 023612401","","","","","BAUTISTA, JR.","ANTONIO","F.","Medical Director","With License","",""
"DOH000000000000586","586","JOSE R. REYES MEMORIAL MEDICAL CENTER","","","","Hospital","Government","Department Of Health","","SAN LAZARO COMPOUND, RIZAL AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SANTA CRUZ","133905000","BARANGAY 311","133905013","1003","+63 027119491","+63 027119498","+63 027321077","JRRMMMC@DOH.GOV.PH","","","MONTAÑA JR.","EMMANUEL","F.","Chief of Hospital","With License","Level 3","450"
"DOH000000000000600","600","KC CALDERON HOSPITAL"," "," "," ","Hospital","Private"," "," "," "," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF VALENZUELA","137504000","HEN. T. DE LEON","137504011"," ","+63 022913721"," ","+63 024446468"," "," "," ","CALDERON","DR. KENNETH","C.","Chief of Hospital","Without License","",""
"DOH000000000000608","608","LADY OF LOURDES HOSPITAL OF CAYBIGA, INC.","","","","Infirmary","Private","","","GENERAL LUIS STREET CAYBIGA","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY 166","137501166","","+63 029835582","+63 029841413","+63 029841409","","","","MAURICIO","ERLINDA","B.","Medical Director","With License","",""
"DOH000000000000614","614","LAS PIÑAS DOCTORS HOSPITAL, INC.","","","","Hospital","Private","","","8009 J.I. AGUILAR AVENUE, CAA ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","PULANG LUPA DOS","137601016","","+63 028255236","","+63 028297715","LPDH_IT2013@YAHOO.COM","","","RUEDA","JOSELLI","S.","Medical Director","With License","Level 3","130"
"DOH000000000000615","615","LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER","LAS PINAS INTEGRATED DISTRICT HOSPITAL","","","Hospital","Government","Department Of Health","","BERNABE COMPOUND","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","PULANG LUPA UNO","137601007","","+63 028730557","+63 028730556","+63 028730557","","","","LOPEZ","EDMUNDO","B.","Chief of Hospital","With License","Level 2","200"
"DOH000000000000637","637","MAKATI MEDICAL CENTER","","","","Hospital","Private","","","2 AMORSOLO STREET, LEGASPI VILLAGE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MAKATI","137602000","SAN LORENZO","137602025","","+63 028888999","","","","","WWW.MAKATIMED.NET.PH","ALIMURUNG","BENJAMIN","N.","Chief of Hospital","With License","Level 3","600"
"DOH000000000000648","648","MARIKINA VALLEY MEDICAL CENTER","","","","Hospital","Private","","","SUMULONG HIGHWAY, COR. AGUINALDO STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MARIKINA","137402000","SANTO NIÑO","137402010","","+63 026822222","","+63 026823399","","","","JULIAN","JOEL","G.","Medical Director","With License","Level 2","110"
"DOH000000000000650","650","MARY CHILES GENERAL HOSPITAL, INC.","","","","Hospital","Private","","","667 GASTAMBIDE STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","SAMPALOC","133906000","BARANGAY 404","133906010","1008","+63 027413941","+63 027413945","+63 027355437","","","","FLORENDO","ROLANDO","A.","Medical Director","With License","Level 3","100"
"DOH000000000000651","651","MARY IMMACULATE HOSPITAL","","","","Infirmary","Private","","","E. RODRIGUEZ AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","BAGONG ILOG","137403001","","+63 026713928","+63 026710439","+63 026713923","","","","VESAGAS","MARIA CONCEPCION","C.","Medical Director","With License","",""
"DOH000000000000654","654","MCPC ST THERESE OF LISIEUX DOCTORS HOSPITAL","","","","Hospital","Private","","","ARMAL BLDG. C. RAYMUNDO AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MAYBUNGA","137403012","","+63 023851579","+63 023852204","","","","","LABRO","LYDIA ANNE","Z.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000655","655","MEDICAL CENTER MANILA INC.","MEDICAL CENTER MANILA","","","Hospital","Private","","","850 UNITED NATIONS AVE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","ERMITA","133908000","","","1000","+63 025238131","","+63 025243440","DIRECTORS_OFFICE@MANILAMED.COM.PH","","","DELA CRUZ","JOSE SANTIAGO","AYLLON","Medical Director","With License","Level 3","250"
"DOH000000000000656","656","MEDICAL CENTER PARAÑAQUE, INC.","","","","Hospital","Private","","","DR. A. SANTOS AVENUE, SUCAT","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","SAN ANTONIO","137604012","","+63 028256911","","+63 028262121","MERZA_LAPAT@YAHOO.COM","","","FLORES","ARTURO","","Medical Director","With License","Level 3","95"
"DOH000000000000662","662","METRO PSYCH FACILITY"," "," "," ","Hospital","Private"," "," ","520 DR. SIXTO AVENUE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MAYBUNGA","137403012"," ","+63 026436006"," ","+63 026436056","metropsychiatry@yahoo.com.ph"," "," ","FLORES","DR. FAREDA FATIMA","A.","Chief of Hospital","Without License","",""
"DOH000000000000687","687","PAMPLONA MEDICAL CLINIC","","","","Infirmary","Private","","","46 REAL STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","PAMPLONA UNO","137601006","","+63 028730524","+63 028738576","","","","","MORALES","LOLITA","D.","Medical Director","With License","","15"
"DOH000000000000690","690","FOUNDATION OF OUR LADY OF PEACE MISSION, INC.-OUR LADY OF PEACE HOSPITAL","OUR LADY OF PEACE HOSPITAL","","","Hospital","Private","","","COSTAL ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","SAN DIONISIO","137604004","","+63 028295775","","+63 028257714","","","","SALVADOR","DR. ROEHL","C.","Medical Director","With License","Level 1","90"
"DOH000000000000693","693","PAGAMUTANG BAYAN NG MALABON","","","","Birthing Home","Government","Local Government Unit","","MAYA-MAYA STREET CORNER DAGAT-DAGATAN AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF MALABON","137502000","LONGOS","137502010","1470","+63 023727710","","","pagamutangbayanngmalabon1989@gmail.com","","","ROMERO","ROBERTO","RODRIGUEZ","City Health Officer","With License","","12"
"DOH000000000000698","698","UHBI-PARAÑAQUE DOCTORS HOSPITAL, INC.","PARANAQUE DOCTOR'S HOSPITAL","","","Hospital","Private","","","175 DOÑA SOLEDAD AVENUE BETTER LIVING SUBDIVISION","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","DON BOSCO","137604008","","+63 028281340","+63 027760644","+63 027138144","","","","SERNA-LOPEZ","GEANIE","MANUEL","Medical Director","With License","Level 2","94"
"DOH000000000000699","699","PASAY CITY GENERAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","P. BURGOS STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","PASAY CITY","137605000","BARANGAY  60","137605060","1304","+63 028336022","+63 028313285","","","","","LUPISAN-OCAMPO","MARILOU","B.","Chief of Hospital","With License","Level 3","150"
"DOH000000000000700","700","PASIG CITY GENERAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","M. EUSEBIO AVENUE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MAYBUNGA","137403012","","+63 022737981","","+63 026427382","","","","CASTRO","PAULO ROMAN","A.","Chief of Hospital","With License","Level 3","200"
